mu_delta,tau,log_likelihood,weight,chain_id
0.4965,0.0033,16.5,146.4765,1
0.4965,0.0033,16.5,146.4765,1
0.5001,0.0015,16.7,146.7414,1
0.5044,0.0037,16.8,146.7506,1
0.4934,0.0043,16.1,146.1352,1
0.4934,0.0043,16.1,146.1352,1
0.4978,0.0104,16.1,146.1325,1
0.5031,0.0056,16.7,146.6632,1
0.5073,0.0052,16.6,146.6077,1
0.5127,0.0027,16.3,146.3049,1
0.5127,0.0027,16.3,146.3049,1
0.5127,0.0027,16.3,146.3049,1
0.5095,0.0013,16.6,146.6186,1
0.5007,0.0002,16.8,146.7767,1
0.5022,0.0078,16.5,146.5064,1
0.4960,0.0142,15.7,145.6801,1
0.4929,0.0116,15.7,145.6617,1
0.4929,0.0116,15.7,145.6617,1
0.4997,0.0071,16.5,146.4836,1
0.4981,0.0006,16.6,146.6403,1
0.4959,0.0066,16.3,146.2773,1
0.5143,0.0018,16.1,146.1408,1
0.5129,0.0138,15.6,145.5577,1
0.5189,0.0067,15.3,145.3201,1
0.5212,0.0129,14.7,144.6505,1
0.5152,0.0183,14.9,144.9252,1
0.5152,0.0183,14.9,144.9252,1
0.5143,0.0200,14.8,144.8151,1
0.5167,0.0189,14.7,144.7351,1
0.5167,0.0189,14.7,144.7351,1
0.5108,0.0147,15.6,145.6181,1
0.5061,0.0127,16.0,146.0332,1
0.5061,0.0127,16.0,146.0332,1
0.5165,0.0083,15.6,145.6060,1
0.5098,0.0119,16.0,145.9646,1
0.5044,0.0134,16.0,145.9850,1
0.5046,0.0070,16.6,146.5700,1
0.5013,0.0008,16.8,146.7925,1
0.5048,0.0021,16.8,146.7970,1
0.5019,0.0069,16.6,146.5666,1
0.5028,0.0063,16.6,146.6169,1
0.5047,0.0010,16.8,146.8182,1
0.5068,0.0024,16.7,146.7372,1
0.5042,0.0014,16.8,146.8168,1
0.4943,0.0047,16.2,146.2129,1
0.4978,0.0024,16.6,146.5966,1
0.5029,0.0024,16.8,146.7949,1
0.5051,0.0028,16.8,146.7751,1
0.5097,0.0047,16.5,146.4966,1
0.5075,0.0009,16.7,146.7361,1
0.5055,0.0051,16.7,146.6693,1
0.5056,0.0047,16.7,146.6880,1
0.5056,0.0047,16.7,146.6880,1
0.5051,0.0038,16.7,146.7405,1
0.5064,0.0091,16.4,146.3629,1
0.5015,0.0003,16.8,146.8011,1
0.4993,0.0063,16.5,146.5214,1
0.4938,0.0029,16.2,146.2207,1
0.4976,0.0050,16.5,146.4908,1
0.5036,0.0035,16.8,146.7651,1
0.5036,0.0035,16.8,146.7651,1
0.5031,0.0084,16.5,146.4669,1
0.5023,0.0021,16.8,146.7944,1
0.5123,0.0040,16.3,146.3077,1
0.5123,0.0040,16.3,146.3077,1
0.5131,0.0015,16.3,146.2897,1
0.5140,0.0030,16.2,146.1540,1
0.5135,0.0110,15.8,145.7573,1
0.5135,0.0110,15.8,145.7573,1
0.5179,0.0033,15.6,145.5892,1
0.5163,0.0052,15.8,145.7795,1
0.5119,0.0118,15.8,145.8318,1
0.5111,0.0106,16.0,145.9991,1
0.5035,0.0023,16.8,146.8004,1
0.5056,0.0034,16.7,146.7451,1
0.4991,0.0007,16.7,146.7031,1
0.4991,0.0007,16.7,146.7031,1
0.4926,0.0002,16.1,146.0914,1
0.4914,0.0010,15.9,145.9281,1
0.4920,0.0054,15.9,145.9229,1
0.4983,0.0072,16.4,146.4115,1
0.4983,0.0072,16.4,146.4115,1
0.4965,0.0083,16.2,146.2157,1
0.5008,0.0041,16.7,146.6934,1
0.5001,0.0080,16.4,146.4397,1
0.4977,0.0091,16.2,146.2408,1
0.4977,0.0091,16.2,146.2408,1
0.4977,0.0091,16.2,146.2408,1
0.5041,0.0132,16.0,146.0073,1
0.5033,0.0153,15.8,145.7785,1
0.5109,0.0085,16.2,146.1812,1
0.5109,0.0085,16.2,146.1812,1
0.5134,0.0017,16.2,146.2496,1
0.5134,0.0017,16.2,146.2496,1
0.5109,0.0002,16.5,146.5199,1
0.5109,0.0002,16.5,146.5199,1
0.5122,0.0020,16.4,146.3726,1
0.5182,0.0011,15.6,145.5682,1
0.5156,0.0021,16.0,145.9607,1
0.5137,0.0049,16.1,146.1271,1
0.5123,0.0019,16.4,146.3685,1
0.5164,0.0020,15.8,145.8448,1
0.5159,0.0066,15.8,145.7748,1
0.5137,0.0107,15.8,145.7664,1
0.5097,0.0150,15.6,145.6480,1
0.5088,0.0168,15.5,145.4912,1
0.5076,0.0090,16.3,146.3370,1
0.5058,0.0116,16.1,146.1479,1
0.5042,0.0167,15.6,145.6131,1
0.5142,0.0120,15.6,145.6044,1
0.5178,0.0231,14.2,144.2331,1
0.5178,0.0231,14.2,144.2331,1
0.5181,0.0272,13.8,143.7961,1
0.5177,0.0215,14.4,144.3908,1
0.5177,0.0215,14.4,144.3908,1
0.5132,0.0238,14.5,144.4680,1
0.5151,0.0236,14.4,144.3686,1
0.5183,0.0253,14.0,143.9696,1
0.5121,0.0297,13.8,143.8405,1
0.5121,0.0297,13.8,143.8405,1
0.5067,0.0282,14.2,144.1691,1
0.5039,0.0265,14.4,144.4045,1
0.5073,0.0273,14.3,144.2707,1
0.5073,0.0273,14.3,144.2707,1
0.5149,0.0229,14.5,144.4651,1
0.5086,0.0260,14.4,144.3888,1
0.5115,0.0154,15.5,145.4989,1
0.5113,0.0145,15.6,145.6073,1
0.5136,0.0126,15.6,145.6128,1
0.5203,0.0145,14.7,144.6966,1
0.5224,0.0104,14.6,144.5625,1
0.5192,0.0043,15.3,145.3330,1
0.5203,0.0050,15.1,145.1075,1
0.5203,0.0050,15.1,145.1075,1
0.5189,0.0045,15.4,145.3904,1
0.5169,0.0103,15.4,145.4247,1
0.5193,0.0077,15.2,145.2065,1
0.5181,0.0053,15.5,145.5036,1
0.5177,0.0034,15.6,145.6060,1
0.5167,0.0054,15.7,145.7182,1
0.5115,0.0037,16.4,146.3934,1
0.5120,0.0065,16.2,146.2195,1
0.5045,0.0099,16.3,146.3371,1
0.5045,0.0099,16.3,146.3371,1
0.5045,0.0099,16.3,146.3371,1
0.5041,0.0110,16.2,146.2310,1
0.5035,0.0120,16.1,146.1314,1
0.4951,0.0089,16.1,146.0685,1
0.4909,0.0014,15.9,145.8545,1
0.4977,0.0040,16.5,146.5431,1
0.5031,0.0031,16.8,146.7764,1
0.5013,0.0058,16.6,146.6232,1
0.5069,0.0053,16.6,146.6204,1
0.5034,0.0094,16.4,146.3791,1
0.5040,0.0035,16.8,146.7619,1
0.5023,0.0036,16.7,146.7488,1
0.5023,0.0036,16.7,146.7488,1
0.4992,0.0055,16.6,146.5597,1
0.4992,0.0055,16.6,146.5597,1
0.4986,0.0066,16.5,146.4686,1
0.4994,0.0061,16.5,146.5350,1
0.4979,0.0031,16.6,146.5812,1
0.5000,0.0042,16.7,146.6564,1
0.4987,0.0020,16.7,146.6612,1
0.5076,0.0009,16.7,146.7335,1
0.5076,0.0009,16.7,146.7335,1
0.5114,0.0010,16.5,146.4644,1
0.5084,0.0123,16.0,145.9878,1
0.5084,0.0123,16.0,145.9878,1
0.5047,0.0011,16.8,146.8168,1
0.5051,0.0031,16.8,146.7646,1
0.4974,0.0007,16.6,146.5910,1
0.4988,0.0008,16.7,146.6850,1
0.4931,0.0016,16.2,146.1567,1
0.5006,0.0072,16.5,146.5135,1
0.4973,0.0047,16.5,146.4857,1
0.4964,0.0067,16.3,146.3086,1
0.5033,0.0080,16.5,146.4979,1
0.5015,0.0095,16.4,146.3577,1
0.5051,0.0013,16.8,146.8069,1
0.4990,0.0019,16.7,146.6815,1
0.4990,0.0019,16.7,146.6815,1
0.5003,0.0028,16.7,146.7225,1
0.5001,0.0052,16.6,146.6150,1
0.4995,0.0015,16.7,146.7139,1
0.5000,0.0046,16.6,146.6388,1
0.5106,0.0054,16.4,146.3949,1
0.5058,0.0030,16.8,146.7549,1
0.5088,0.0007,16.7,146.6683,1
0.5089,0.0087,16.3,146.2954,1
0.5107,0.0052,16.4,146.4046,1
0.5107,0.0052,16.4,146.4046,1
0.5107,0.0052,16.4,146.4046,1
0.5081,0.0077,16.4,146.4117,1
0.5117,0.0107,15.9,145.9404,1
0.5066,0.0091,16.4,146.3562,1
0.5066,0.0091,16.4,146.3562,1
0.5066,0.0091,16.4,146.3562,1
0.5144,0.0081,15.9,145.8799,1
0.5087,0.0012,16.7,146.6715,1
0.5068,0.0106,16.2,146.2176,1
0.5089,0.0064,16.5,146.4582,1
0.5015,0.0084,16.4,146.4426,1
0.5015,0.0084,16.4,146.4426,1
0.5018,0.0030,16.8,146.7619,1
0.5018,0.0030,16.8,146.7619,1
0.5024,0.0022,16.8,146.7934,1
0.5022,0.0001,16.8,146.8162,1
0.5158,0.0030,15.9,145.9191,1
0.5089,0.0050,16.5,146.5397,1
0.5076,0.0069,16.5,146.4904,1
0.5102,0.0085,16.2,146.2285,1
0.5066,0.0049,16.6,146.6484,1
0.5102,0.0085,16.2,146.2255,1
0.5100,0.0127,15.9,145.8672,1
0.5041,0.0128,16.0,146.0445,1
0.5019,0.0112,16.2,146.1998,1
0.5013,0.0140,15.9,145.9007,1
0.5065,0.0154,15.7,145.7220,1
0.5065,0.0154,15.7,145.7220,1
0.5099,0.0178,15.3,145.3183,1
0.5099,0.0178,15.3,145.3183,1
0.5099,0.0178,15.3,145.3183,1
0.5099,0.0178,15.3,145.3183,1
0.5123,0.0243,14.5,144.4568,1
0.5107,0.0231,14.7,144.6658,1
0.5058,0.0251,14.6,144.5658,1
0.5090,0.0169,15.5,145.4701,1
0.5158,0.0170,15.0,145.0024,1
0.5131,0.0160,15.3,145.3260,1
0.5072,0.0211,15.0,145.0273,1
0.5090,0.0165,15.5,145.5150,1
0.5162,0.0096,15.6,145.5596,1
0.5162,0.0096,15.6,145.5596,1
0.5162,0.0096,15.6,145.5596,1
0.5162,0.0096,15.6,145.5596,1
0.5096,0.0030,16.6,146.5724,1
0.5035,0.0056,16.7,146.6653,1
0.5049,0.0001,16.8,146.8199,1
0.4988,0.0005,16.7,146.6888,1
0.4991,0.0020,16.7,146.6867,1
0.5022,0.0041,16.7,146.7261,1
0.5072,0.0032,16.7,146.6993,1
0.5079,0.0088,16.3,146.3382,1
0.5116,0.0057,16.3,146.3008,1
0.5143,0.0149,15.3,145.3298,1
0.5143,0.0149,15.3,145.3298,1
0.5135,0.0129,15.6,145.5951,1
0.5153,0.0111,15.6,145.5613,1
0.5154,0.0061,15.9,145.8640,1
0.5181,0.0060,15.5,145.4670,1
0.5181,0.0060,15.5,145.4670,1
0.5163,0.0019,15.9,145.8606,1
0.5163,0.0019,15.9,145.8606,1
0.5101,0.0027,16.5,146.5430,1
0.5101,0.0027,16.5,146.5430,1
0.5097,0.0059,16.4,146.4393,1
0.5097,0.0059,16.4,146.4393,1
0.5068,0.0039,16.7,146.6890,1
0.5013,0.0042,16.7,146.7050,1
0.5061,0.0022,16.8,146.7653,1
0.5077,0.0030,16.7,146.6847,1
0.5042,0.0087,16.4,146.4363,1
0.5004,0.0074,16.5,146.4953,1
0.4952,0.0041,16.3,146.3320,1
0.4952,0.0041,16.3,146.3320,1
0.4984,0.0045,16.6,146.5664,1
0.5057,0.0050,16.7,146.6729,1
0.5038,0.0001,16.8,146.8296,1
0.5045,0.0068,16.6,146.5826,1
0.5008,0.0080,16.5,146.4609,1
0.4962,0.0011,16.5,146.4947,1
0.4946,0.0019,16.3,146.3228,1
0.4873,0.0010,15.2,145.2312,1
0.4861,0.0012,15.0,144.9880,1
0.4861,0.0012,15.0,144.9880,1
0.4850,0.0009,14.7,144.7432,1
0.4910,0.0048,15.8,145.7951,1
0.4878,0.0018,15.3,145.3167,1
0.4932,0.0028,16.1,146.1496,1
0.4932,0.0069,16.0,146.0027,1
0.4932,0.0069,16.0,146.0027,1
0.5011,0.0048,16.7,146.6716,1
0.5062,0.0009,16.8,146.7861,1
0.5068,0.0006,16.8,146.7673,1
0.5027,0.0015,16.8,146.8122,1
0.5004,0.0030,16.7,146.7193,1
0.5004,0.0030,16.7,146.7193,1
0.5000,0.0064,16.5,146.5428,1
0.5054,0.0070,16.6,146.5532,1
0.5054,0.0070,16.6,146.5532,1
0.5013,0.0045,16.7,146.6903,1
0.4992,0.0015,16.7,146.6972,1
0.5042,0.0016,16.8,146.8142,1
0.5042,0.0016,16.8,146.8142,1
0.5102,0.0009,16.6,146.5674,1
0.5151,0.0049,15.9,145.9457,1
0.5105,0.0007,16.5,146.5486,1
0.5065,0.0049,16.7,146.6538,1
0.5065,0.0049,16.7,146.6538,1
0.4993,0.0033,16.7,146.6637,1
0.4993,0.0033,16.7,146.6637,1
0.5022,0.0012,16.8,146.8096,1
0.5022,0.0012,16.8,146.8096,1
0.5060,0.0039,16.7,146.7170,1
0.5002,0.0102,16.3,146.2562,1
0.5002,0.0130,16.0,145.9867,1
0.5002,0.0130,16.0,145.9867,1
0.5017,0.0190,15.3,145.3273,1
0.5087,0.0132,15.9,145.8910,1
0.5085,0.0049,16.6,146.5652,1
0.5133,0.0060,16.1,146.1132,1
0.5140,0.0049,16.1,146.0914,1
0.5178,0.0077,15.4,145.4468,1
0.5178,0.0077,15.4,145.4468,1
0.5115,0.0142,15.6,145.6250,1
0.5115,0.0142,15.6,145.6250,1
0.5184,0.0130,15.0,145.0472,1
0.5123,0.0205,14.9,144.8942,1
0.5179,0.0148,15.0,144.9695,1
0.5179,0.0148,15.0,144.9695,1
0.5179,0.0148,15.0,144.9695,1
0.5176,0.0173,14.8,144.7958,1
0.5114,0.0156,15.5,145.4847,1
0.5046,0.0178,15.5,145.4771,1
0.5046,0.0178,15.5,145.4771,1
0.5062,0.0135,15.9,145.9426,1
0.5052,0.0125,16.1,146.0669,1
0.5052,0.0125,16.1,146.0669,1
0.5045,0.0211,15.1,145.0761,1
0.5045,0.0211,15.1,145.0761,1
0.5040,0.0236,14.8,144.7653,1
0.5012,0.0276,14.3,144.2632,1
0.4937,0.0210,14.8,144.8108,1
0.4942,0.0163,15.3,145.3408,1
0.4970,0.0179,15.3,145.3246,1
0.4955,0.0159,15.5,145.4721,1
0.4955,0.0159,15.5,145.4721,1
0.4941,0.0171,15.3,145.2572,1
0.4861,0.0100,14.9,144.8507,1
0.4880,0.0157,14.8,144.8199,1
0.4904,0.0126,15.3,145.3267,1
0.4919,0.0147,15.3,145.3096,1
0.4879,0.0094,15.2,145.1610,1
0.4879,0.0094,15.2,145.1610,1
0.4879,0.0094,15.2,145.1610,1
0.4879,0.0094,15.2,145.1610,1
0.4836,0.0127,14.3,144.3457,1
0.4836,0.0127,14.3,144.3457,1
0.4890,0.0163,14.9,144.8841,1
0.4873,0.0163,14.7,144.6975,1
0.4922,0.0189,14.9,144.9404,1
0.4965,0.0177,15.3,145.3292,1
0.4930,0.0176,15.1,145.1269,1
0.4928,0.0200,14.9,144.8608,1
0.4955,0.0277,14.1,144.1206,1
0.4955,0.0277,14.1,144.1206,1
0.4951,0.0322,13.6,143.5975,1
0.4972,0.0357,13.3,143.2571,1
0.4998,0.0413,12.7,142.6761,1
0.4998,0.0413,12.7,142.6761,1
0.5115,0.0406,12.7,142.6603,1
0.5113,0.0332,13.5,143.4735,1
0.5143,0.0362,13.0,143.0482,1
0.5143,0.0362,13.0,143.0482,1
0.5126,0.0363,13.1,143.0923,1
0.5126,0.0363,13.1,143.0923,1
0.5117,0.0359,13.2,143.1601,1
0.5137,0.0304,13.7,143.6998,1
0.5097,0.0268,14.3,144.2603,1
0.5007,0.0249,14.6,144.5868,1
0.5064,0.0249,14.6,144.5814,1
0.5064,0.0249,14.6,144.5814,1
0.4989,0.0293,14.0,144.0238,1
0.5028,0.0158,15.7,145.7216,1
0.5003,0.0182,15.4,145.4043,1
0.4993,0.0139,15.9,145.8675,1
0.4973,0.0148,15.7,145.6794,1
0.4973,0.0148,15.7,145.6794,1
0.4975,0.0166,15.5,145.5025,1
0.4979,0.0095,16.2,146.2174,1
0.4976,0.0028,16.6,146.5730,1
0.5016,0.0039,16.7,146.7221,1
0.5000,0.0017,16.7,146.7335,1
0.5055,0.0039,16.7,146.7249,1
0.4998,0.0024,16.7,146.7095,1
0.4927,0.0095,15.8,145.7946,1
0.4958,0.0104,16.0,146.0057,1
0.4944,0.0054,16.2,146.1965,1
0.4966,0.0024,16.5,146.5024,1
0.5042,0.0082,16.5,146.4847,1
0.5042,0.0082,16.5,146.4847,1
0.5042,0.0082,16.5,146.4847,1
0.5042,0.0082,16.5,146.4847,1
0.5042,0.0082,16.5,146.4847,1
0.5042,0.0082,16.5,146.4847,1
0.5005,0.0066,16.5,146.5486,1
0.4941,0.0021,16.3,146.2693,1
0.4954,0.0023,16.4,146.4030,1
0.4935,0.0075,16.0,146.0002,1
0.4974,0.0083,16.3,146.2820,1
0.5033,0.0108,16.3,146.2585,1
0.5005,0.0086,16.4,146.4011,1
0.5024,0.0126,16.1,146.0678,1
0.4975,0.0123,15.9,145.9457,1
0.4923,0.0054,16.0,145.9515,1
0.4963,0.0097,16.1,146.1018,1
0.4985,0.0122,16.0,146.0049,1
0.4985,0.0122,16.0,146.0049,1
0.4971,0.0083,16.3,146.2641,1
0.4980,0.0053,16.5,146.5019,1
0.5036,0.0073,16.6,146.5550,1
0.5097,0.0033,16.6,146.5563,1
0.5058,0.0053,16.6,146.6492,1
0.5058,0.0053,16.6,146.6492,1
0.5058,0.0053,16.6,146.6492,1
0.5060,0.0001,16.8,146.7961,1
0.5139,0.0004,16.2,146.2022,1
0.5138,0.0051,16.1,146.1034,1
0.5073,0.0014,16.7,146.7411,1
0.5066,0.0173,15.5,145.5053,1
0.5128,0.0267,14.2,144.1592,1
0.5191,0.0190,14.5,144.4993,1
0.5181,0.0210,14.4,144.4046,1
0.5181,0.0210,14.4,144.4046,1
0.5250,0.0162,13.9,143.8872,1
0.5228,0.0165,14.2,144.2138,1
0.5266,0.0189,13.5,143.4999,1
0.5193,0.0173,14.6,144.6159,1
0.5229,0.0198,14.0,143.9819,1
0.5229,0.0198,14.0,143.9819,1
0.5254,0.0147,13.9,143.8760,1
0.5254,0.0147,13.9,143.8760,1
0.5295,0.0168,13.1,143.0543,1
0.5295,0.0168,13.1,143.0543,1
0.5227,0.0191,14.1,144.0616,1
0.5188,0.0191,14.5,144.5042,1
0.5235,0.0174,14.0,144.0475,1
0.5201,0.0224,14.1,144.0913,1
0.5210,0.0224,14.0,143.9965,1
0.5172,0.0233,14.3,144.2536,1
0.5172,0.0233,14.3,144.2536,1
0.5048,0.0254,14.5,144.5289,1
0.5005,0.0214,15.0,145.0189,1
0.5005,0.0214,15.0,145.0189,1
0.5005,0.0214,15.0,145.0189,1
0.5005,0.0214,15.0,145.0189,1
0.5005,0.0214,15.0,145.0189,1
0.5020,0.0131,16.0,146.0125,1
0.5020,0.0131,16.0,146.0125,1
0.5033,0.0138,15.9,145.9445,1
0.5065,0.0148,15.8,145.7941,1
0.5056,0.0149,15.8,145.8011,1
0.5098,0.0132,15.8,145.8315,1
0.5092,0.0154,15.6,145.6289,1
0.5118,0.0084,16.1,146.1163,1
0.5106,0.0126,15.8,145.8418,1
0.4961,0.0086,16.2,146.1693,1
0.5010,0.0137,15.9,145.9336,1
0.5010,0.0137,15.9,145.9336,1
0.5010,0.0137,15.9,145.9336,1
0.4957,0.0198,15.1,145.0542,1
0.4957,0.0198,15.1,145.0542,1
0.4957,0.0176,15.3,145.2956,1
0.4924,0.0191,14.9,144.9307,1
0.4915,0.0210,14.7,144.6790,1
0.5010,0.0151,15.8,145.7771,1
0.5086,0.0181,15.3,145.3439,1
0.5146,0.0145,15.3,145.3463,1
0.5041,0.0108,16.3,146.2511,1
0.4926,0.0078,15.9,145.8780,1
0.4926,0.0078,15.9,145.8780,1
0.4926,0.0078,15.9,145.8780,1
0.4926,0.0078,15.9,145.8780,1
0.4986,0.0108,16.1,146.1449,1
0.4969,0.0084,16.2,146.2380,1
0.4969,0.0084,16.2,146.2380,1
0.4978,0.0159,15.6,145.5879,1
0.4978,0.0159,15.6,145.5879,1
0.4978,0.0159,15.6,145.5879,1
0.4960,0.0151,15.6,145.5911,1
0.4986,0.0235,14.7,144.7266,1
0.4958,0.0216,14.8,144.8491,1
0.4933,0.0176,15.1,145.1476,1
0.4933,0.0176,15.1,145.1476,1
0.4999,0.0150,15.8,145.7652,1
0.5070,0.0134,15.9,145.9345,1
0.4950,0.0009,16.4,146.3732,1
0.5051,0.0075,16.5,146.5230,1
0.5064,0.0110,16.2,146.1942,1
0.5057,0.0135,16.0,145.9506,1
0.5047,0.0146,15.8,145.8486,1
0.5188,0.0162,14.8,144.7528,1
0.5174,0.0095,15.4,145.4083,1
0.5094,0.0092,16.2,146.2284,1
0.5094,0.0092,16.2,146.2284,1
0.5118,0.0030,16.4,146.3891,1
0.5118,0.0030,16.4,146.3891,1
0.5079,0.0008,16.7,146.7168,1
0.5073,0.0056,16.6,146.5882,1
0.5018,0.0066,16.6,146.5837,1
0.5035,0.0054,16.7,146.6753,1
0.5077,0.0081,16.4,146.4009,1
0.5091,0.0074,16.4,146.3832,1
0.5028,0.0130,16.0,146.0297,1
0.5065,0.0117,16.1,146.1173,1
0.5065,0.0117,16.1,146.1173,1
0.5065,0.0117,16.1,146.1173,1
0.5085,0.0091,16.3,146.2784,1
0.5010,0.0088,16.4,146.4056,1
0.5050,0.0149,15.8,145.8040,1
0.5070,0.0176,15.4,145.4495,1
0.5109,0.0156,15.5,145.5156,1
0.5109,0.0156,15.5,145.5156,1
0.5120,0.0151,15.5,145.5027,1
0.5140,0.0133,15.5,145.5183,1
0.5187,0.0121,15.1,145.0730,1
0.5168,0.0162,15.0,144.9718,1
0.5168,0.0162,15.0,144.9718,1
0.5168,0.0162,15.0,144.9718,1
0.5168,0.0162,15.0,144.9718,1
0.5094,0.0128,15.9,145.8954,1
0.5146,0.0074,15.9,145.8940,1
0.5112,0.0096,16.1,146.0720,1
